COUNTY,ROUTE,SEGMENT,DATA_YEAR,TOTAL_CRASH,FATAL,FATAL_MAJ,INJURY,FATAL_INJ,PDO,LENGTH_MI_YR,LENGTH_FT_YR,AADT,BEG_MP,END_MP,TravelWayWidth,LANES,SPEED,LeftShldPave,RtshldPave,COUNTY_NAME,RHR,PASS_ZONE,CL_RS,SH_RS,ACCESS_PTS,NO_INTS,NO_CURVES,AVG_D,AccessDensity
3,28,404,2006,3,0,0,2,2,1,0.391287879,2066,5758,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,404,2007,1,0,0,1,1,0,0.391287879,2066,7315,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,404,2008,1,0,0,1,1,0,0.391287879,2066,7315,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,404,2009,1,0,0,0,0,1,0.391287879,2066,7348,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,404,2010,0,0,0,0,0,0,0.391287879,2066,7348,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,404,2011,0,0,0,0,0,0,0.391287879,2066,7348,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,404,2012,1,0,0,0,0,1,0.391287879,2066,7348,17.98143939,18.37272727,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,3,0,2,6.293252167,7.666989351
3,28,410,2005,0,0,0,0,0,0,0.35530303,1876,5673,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2006,1,0,0,1,1,0,0.35530303,1876,5758,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2007,1,0,0,1,1,0,0.35530303,1876,7315,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2008,0,0,0,0,0,0,0.35530303,1876,7315,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2009,1,0,0,0,0,1,0.35530303,1876,7348,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2010,2,0,0,1,1,1,0.35530303,1876,7348,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2011,0,0,0,0,0,0,0.35530303,1876,7348,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,410,2012,1,0,0,0,0,1,0.35530303,1876,7348,18.37272727,18.7280303,22,2,55,2,2,ARMSTRONG     ,5,0,0,0,4,1,1,6.466787774,11.25799574
3,28,420,2005,2,0,0,1,1,1,0.458712121,2422,4571,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2006,1,0,0,0,0,1,0.458712121,2422,4703,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2007,0,0,0,0,0,0,0.458712121,2422,4703,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2008,0,0,0,0,0,0,0.458712121,2422,4738,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2009,1,0,0,1,1,0,0.458712121,2422,4871,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2010,0,0,0,0,0,0,0.458712121,2422,4871,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2011,0,0,0,0,0,0,0.458712121,2422,4871,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,420,2012,0,0,0,0,0,0,0.458712121,2422,4871,18.7280303,19.18674242,22,2,55,2,1,ARMSTRONG     ,5,0,0,0,2,0,0,0,4.360033031
3,28,430,2005,2,0,0,1,1,1,0.464015152,2450,4571,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2006,0,0,0,0,0,0,0.464015152,2450,4703,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2007,1,0,0,1,1,0,0.464015152,2450,4703,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2008,1,0,0,0,0,1,0.464015152,2450,4738,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2009,1,0,0,1,1,0,0.464015152,2450,4871,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2010,1,0,0,0,0,1,0.464015152,2450,4871,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2011,0,0,0,0,0,0,0.464015152,2450,4871,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,430,2012,3,0,0,2,2,1,0.464015152,2450,4871,19.18674242,19.65075758,22,2,55,1,3,ARMSTRONG     ,5,0,0,0,14,0,1,4.891614115,30.17142857
3,28,460,2005,0,0,0,0,0,0,0.614393939,3244,4571,20.95056818,21.57329545,22,2,55,4,1,ARMSTRONG     ,5,0,1,1,10,0,1,6.692237596,16.27620222
